ind_ID	long0	lat0	z0	i0	j0	temp0	sal0	xyz0	dev_stage0	ocean_ID0
11291	-66.83073	44.12051	15	113	90	5.43771	32.93493	152.11977	1.04614	1
11292	-66.83068	44.12045	15	113	90	5.43639	32.93484	152.0451	1.04616	1
11293	-66.83089	44.1205	15	113	90	5.44246	32.93497	152.14574	1.04615	1
11294	-66.83088	44.12051	15	113	90	5.44248	32.93497	152.14635	1.04615	1
11295	-66.83075	44.12065	15	114	90	5.43671	32.93504	152.21344	1.04614	1
11296	-66.83076	44.1204	15	113	90	5.44004	32.93483	152.032	1.04614	1
11297	-66.83077	44.12038	15	113	90	5.44082	32.93484	152.02972	1.04614	1
11298	-66.83058	44.12046	15	114	90	5.43479	32.93481	152.02644	1.04614	1
11299	-66.83079	44.12067	15	114	90	5.4397	32.93508	152.2446	1.04615	1
11300	-66.83085	44.12049	15	113	90	5.4422	32.93494	152.12506	1.04613	1
11711	-66.83351	44.20389	15	115	92	6.03191	32.91022	190.51587	1.03855	1
11712	-66.8336	44.20399	15	115	92	6.03555	32.91015	190.49841	1.0386	1
11713	-66.83308	44.20404	15	115	92	6.02987	32.91089	190.51045	1.03857	1
11714	-66.83341	44.20394	15	115	92	6.03184	32.91039	190.51201	1.03854	1
11715	-66.83353	44.2035	15	115	92	6.02336	32.91013	190.56219	1.0385	1
11716	-66.8334	44.20354	15	115	92	6.02282	32.91033	190.56039	1.03853	1
11717	-66.8334	44.20409	15	115	92	6.03545	32.91046	190.49153	1.03861	1
11718	-66.83299	44.20382	15	115	92	6.02388	32.91099	190.53957	1.0385	1
11719	-66.8334	44.2041	15	115	92	6.0359	32.9104	190.49052	1.0386	1
11720	-66.83319	44.20402	15	115	92	6.03143	32.91069	190.50696	1.03855	1
12161	-66.81139	44.18693	15	115	91	4.75457	32.95168	187.36414	1.03573	1
12162	-66.81138	44.18677	15	115	91	4.74483	32.95182	187.33405	1.03573	1
12163	-66.81136	44.1866	15	115	91	4.73494	32.95195	187.30432	1.03576	1
12164	-66.81115	44.18716	15	115	91	4.76258	32.95193	187.37901	1.03571	1
12165	-66.81123	44.18742	15	115	91	4.77918	32.95163	187.43208	1.03569	1
12166	-66.81103	44.18718	15	115	91	4.7613	32.95206	187.37186	1.0357	1
12167	-66.81133	44.18678	15	115	91	4.74481	32.95188	187.33243	1.03574	1
12168	-66.81129	44.18679	15	115	91	4.74361	32.95194	187.32765	1.03576	1
12169	-66.81129	44.18724	15	115	91	4.77016	32.95167	187.40646	1.0357	1
12170	-66.81167	44.18703	15	115	91	4.76526	32.95129	187.40353	1.03576	1
12171	-66.78879	44.23317	15	116	92	6.08337	32.93579	186.09138	1.04673	1
12172	-66.78927	44.2328	15	116	92	6.0832	32.93633	186.1541	1.04668	1
12173	-66.78859	44.23314	15	116	92	6.08158	32.93587	186.08908	1.04672	1
12174	-66.78849	44.23301	15	116	92	6.07851	32.93622	186.11061	1.04669	1
12175	-66.78867	44.23278	15	116	92	6.07726	32.93659	186.14592	1.04667	1
12176	-66.78851	44.2331	15	116	92	6.08001	32.93602	186.09583	1.04671	1
12177	-66.78779	44.23312	15	116	92	6.07346	32.93624	186.07855	1.04671	1
12178	-66.78827	44.23301	15	116	92	6.07661	32.93626	186.10275	1.0467	1
12179	-66.78887	44.23294	15	116	92	6.08156	32.93617	186.12413	1.04665	1
12180	-66.78987	44.23268	15	116	92	6.08689	32.93638	186.18297	1.04664	1
12701	-66.71079	44.15639	15	116	89	3.82168	32.85304	142.26651	1.03564	1
12702	-66.71096	44.15615	15	116	89	3.81797	32.85363	142.30865	1.03564	1
12703	-66.70987	44.15654	15	116	89	3.82435	32.84999	141.44362	1.03567	1
12704	-66.7101	44.15642	15	116	89	3.82362	32.85087	141.61497	1.03565	1
12705	-66.71001	44.15625	15	116	89	3.82815	32.85069	141.37935	1.03564	1
12706	-66.71072	44.15617	15	116	89	3.8202	32.85289	142.08929	1.03566	1
12707	-66.71081	44.15621	15	116	89	3.81813	32.85317	142.23363	1.03565	1
12708	-66.71031	44.15651	15	116	89	3.82338	32.85152	141.89246	1.03564	1
12709	-66.71053	44.1562	15	116	89	3.82238	32.85233	141.90082	1.03566	1
12710	-66.71109	44.15615	15	116	89	3.81722	32.8541	142.46159	1.03563	1
12711	-66.74855	44.1643	15	116	90	3.80004	32.96005	171.4899	1.03595	1
12712	-66.74838	44.16414	15	116	90	3.80025	32.9596	171.35941	1.03595	1
12713	-66.74866	44.16411	15	116	90	3.79655	32.96029	171.48334	1.03592	1
12714	-66.74782	44.16418	15	116	90	3.80707	32.95821	171.08966	1.03598	1
12715	-66.74769	44.16433	15	116	90	3.8112	32.95777	171.04689	1.03597	1
12716	-66.74768	44.16455	15	116	90	3.81447	32.95773	171.10788	1.03596	1
12717	-66.74693	44.16432	15	116	90	3.81951	32.9559	170.66841	1.03601	1
12718	-66.74929	44.16454	15	116	90	3.79542	32.96166	171.87645	1.03591	1
12719	-66.74838	44.16447	15	116	90	3.80489	32.9595	171.42926	1.03596	1
12720	-66.74829	44.16416	15	116	90	3.80118	32.95943	171.32686	1.03595	1
12721	-66.77713	44.21283	15	116	91	5.54629	32.97203	187.57033	1.03752	1
12722	-66.77802	44.21272	15	116	91	5.55207	32.97248	187.75644	1.03743	1
12723	-66.77766	44.21274	15	116	91	5.54835	32.97231	187.6776	1.03748	1
12724	-66.77803	44.21288	15	116	91	5.55986	32.9724	187.771	1.03751	1
12725	-66.77738	44.21288	15	116	91	5.55147	32.97212	187.62743	1.03753	1
